r7_order	word	common_core	common_rank	common_combined_ppm	common_attested_both	cifu_rank	cifu_spoken_adult	cifu_reconstructed_jyutping	prior_audit_status	priority_action
83	本身	true	574	144.028085	true	347	93	false	missing	protect_common_frequency_candidate
84	另	true	484	199.601250	true	349	92	false	missing	protect_common_frequency_candidate
85	扮汗	false				350	92	true	manual_review	low_priority_review
86	今次	true	881	73.171921	false	353	91	true	manual_review	protect_common_frequency_candidate
87	幾好	false				360	89	true	manual_review	low_priority_review
88	彭	true	372	292.086185	true	361	89	false	missing	protect_common_frequency_candidate
89	貧大宅	false				364	88	true	manual_review	low_priority_review
90	像	true	706	103.256717	false	369	87	false	missing	protect_common_frequency_candidate
91	仔	true	348	316.186107	true	372	85	false	missing	protect_common_frequency_candidate
92	風車	false				376	84	false	handled_structurally	atomic_retirement_candidate
93	越	true	837	81.302135	false	377	84	false	missing	protect_common_frequency_candidate
94	考	true	281	414.640888	false	379	83	false	missing	protect_common_frequency_candidate
95	引	true	561	148.624510	true	386	82	false	missing	protect_common_frequency_candidate
96	前	true	562	148.093191	true	389	82	false	missing	protect_common_frequency_candidate
97	完全	true	515	175.777019	true	394	80	false	handled_structurally	protect_common_frequency_candidate
98	股	true	1516	32.520854	false	402	78	false	missing	protect_common_frequency_candidate
99	出來	true	230	556.919625	false	404	77	false	missing	protect_common_frequency_candidate
100	你講	false				406	76	true	manual_review	low_priority_review
101	所	true	772	92.279426	true	410	75	false	missing	protect_common_frequency_candidate
102	所謂	true	581	141.506817	true	411	75	false	missing	protect_common_frequency_candidate
103	首先	true	341	321.639661	true	412	75	false	handled_structurally	protect_common_frequency_candidate
104	畫到	false				415	75	true	manual_review	low_priority_review
105	講呢	false				417	75	true	manual_review	low_priority_review
106	全部	true	470	207.200144	true	419	74	false	handled_structurally	protect_common_frequency_candidate
107	服務	true	962	65.041708	false	423	73	false	missing	protect_common_frequency_candidate
108	得到	true	1046	56.911494	false	428	72	false	handled_structurally	protect_common_frequency_candidate
109	理	true	391	270.903522	true	430	72	false	missing	protect_common_frequency_candidate
110	種	true	363	298.948251	true	431	72	false	missing	protect_common_frequency_candidate
111	堂	true	1031	58.335033	true	432	71	false	missing	protect_common_frequency_candidate
112	后	false				433	70	false	missing	low_priority_review
113	呃	true	319	348.260851	true	434	70	false	missing	protect_common_frequency_candidate
114	就算	true	847	78.334757	true	435	70	false	handled_structurally	protect_common_frequency_candidate
