rank	word	cifu_spoken_adult	cifu_jyutping	cifu_definition	cifu_structure	runtime_status	runtime_module	runtime_jyutping	runtime_meta	structural_path
1559	出聲	13	ceot1seng1	to utter/to give voice	⿱屮凵:⿱殸耳	missing				
1560	台灣	13	toi4waan1	Taiwan	⿱厶口:⿰氵彎	missing				
1561	司	13	si1	company/control/surname Si	⿹𠃌𠮛	handled_structurally				src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js
1562	犯	13	faan6	to violate/to offend/to assault/criminal/crime/to make a mistake/recurrence (of mistake or sth bad)	⿰犭㔾	missing				
1563	白	13	baak6	white/clear/pure/bright/clean/plain/in vain/for nothing/free of charge/vernacular/the spoken part in an opera/to state/to explain/a surname	白	missing				
1564	目的	13	muk6dik1	purpose/aim/goal/target/objective	目:⿰白勺	missing				
1565	先得	13	*sin1dak1	NO DEF	⿱𠂒儿:⿰彳㝵	missing				
1566	好少	13	*hou2|hou3siu2|siu3	NO DEF	⿰女子:⿱小丿	missing				
1567	好笑	13	hou2siu3	laughable/funny/ridiculous	⿰女子:⿱竹夭	covered_main	statives.js	hou2 siu3	like:lexicalized_stative_predicate evaluation amusing_evaluation degreeable	
1568	好煩	13	*hou2|hou3faan4	NO DEF	⿰女子:⿰火頁	missing				
1569	扣	13	kau3	to fasten/to button/button/buckle/knot/to arrest/to confiscate/to deduct (money)/discount/to knock/to smash or spike (a ball)/to cover (with a bowl etc)/fig. to tag a label on sb	⿰扌口	missing				
1570	收埋	13	*sau1maai4	NO DEF	⿰丩攵:⿰土里	missing				
1571	自信	13	zi6seon3	confidence/self-confidence	自:⿰亻言	missing				
1572	作	13	zok3	to compose/to write/to do/to pretend/to regard as/to feel/writings or works	⿰亻乍	missing				
1573	你畫	13	*nei5waak6|waa2	NO DEF	⿰亻尔:⿳&CDP-8BC6;田一	missing				
1574	即要	13	*zik1jiu3	NO DEF	⿰&CDP-8B7C;卩:⿱覀女	missing				
1575	夾	13	gaap3|gaap2	to place in between/to sandwich/to carry sth under armpit/wedged between/between/to intersperse/to mix/to mingle|clip/folder	⿻大从	missing				
1576	我識	13	*ngo5sik1	NO DEF	我:⿰言戠	missing				
1577	身體	13	san1tai2	(human) body/health	身:⿰骨豊	missing				
1578	兩條	13	*loeng5tiu4	NO DEF	⿱一&CDP-8C62;:⿰&CDP-8B7A;条[G],⿰&CDP-8B7A;&CDP-8BFB;[TJKV]	missing				
1579	咁滯	13	gam3zai6	NO DEF	⿰口甘:⿰氵帶	missing				
1580	拗	13	aau2|aau3	to bend in two so as to break|stubborn/obstinate/to argue	⿰扌幼	missing				
1581	返轉頭	13	*faan1|faan2zyun3tau4	NO DEF	⿺辶反:⿰車專:⿰豆頁	missing				
1582	金融	13	gam1jung4	banking/finance/financial	⿱人&CDP-8DE3;:⿰鬲虫	missing				
1583	封	13	fung1	to confer/to grant/to bestow a title/to seal/classifier for sealed objects, esp. letters	⿰圭寸	missing				
1584	政治	13	zing3zi6	politics/political	⿰正攵:⿰氵台	missing				
1585	柱	13	cyu5	pillar	⿰木主	missing				
1586	為止	13	wai4zi2	until	為:止	missing				
1587	界	13	gaai3	boundary/scope/extent/circles/group/kingdom (taxonomy)	⿱田介	missing				
1588	閂	13	saan1	bolt/latch/to bolt/to latch	⿵門一	missing				
1589	面前	13	min6cin4	in front of/facing/presence	⿱丆囬:⿱䒑刖	missing				
1590	食到	13	*sik6dou3	NO DEF	⿱人良:⿰至刂	missing				
1591	個萍	13	*go3ping4	NO DEF	⿰亻固:⿱艹泙	missing				
1592	唔錯	13	*m4co3	NO DEF	⿰口吾:⿰金昔	missing				
1593	庭	13	ting4	court/courtyard	⿸广廷	missing				
1594	秘書	13	bei3syu1	secretary	⿰禾必:⿱&CDP-8BC6;日	missing				
1595	站	13	zaam6	station/to stand/to halt/to stop/branch of a company or organization/website	⿰立占	covered_main	study-suite.js	zaam6	where:place_noun station_head	
1596	能	13	nang4	can/may/capable/energy/able/surname Neng	⿰䏍𫧇	missing				
1597	茶	13	caa4	tea/tea plant/CL:杯[būi]	⿳艹人朩	covered_main	things.js	caa4	what:object_np liquid drink_object beverage_noun	
1598	骨折	13	gwat1zit3	broken bones/fracture	⿱&CDP-89A9;月[G],⿱&CDP-8A4F;⺼[TV],⿱&CDP-8A4F;月[JK]:⿰扌斤	missing				
1599	參考	13	caam1haau2	consultation/reference/to consult/to refer	⿱𠫯彡:⿸耂丂	missing				
1600	接	13	zip3	to receive/to answer (the phone)/to meet or welcome sb/to connect/to catch/to join/to extend/to take one's turn on duty/take over for sb	⿰扌妾	missing				
1601	痕	13	han4	scar/traces	⿸疒艮	missing				
1602	細路仔	13	*sai3lou6zai2|zi2	NO DEF	⿰糹田[GTV],⿰糸田[JK]:⿰𧾷各:⿰亻子	missing				
1603	速度	13	cuk1dou6	speed/rate/velocity	⿺辶束:⿸广&CDP-8C46;	missing				
1604	部門	13	bou6mun4	department/branch/section/division	⿰咅阝:⿰𠁣𠃛	missing				
1605	雀	13	zoek3	small bird/sparrow/a freckle/lentigo	⿱小隹	missing				
1606	單仲佳	13	*daan1zung6gaai1	NO DEF	⿱吅&CDP-8BD9;:⿰亻中:⿰亻圭	missing				
1607	就會	13	*zau6wui5|wui6|wui2	NO DEF	⿰京尤:⿱亼𭥴	missing				
1608	幾靚	13	*gei2|gei1leng3	NO DEF	⿹&CDP-8BA4;人:⿰青見[GT],⿰靑見[JK]	missing				
1609	幾點	13	gei2dim2	what time?/when?	⿹&CDP-8BA4;人:⿰黑占	missing				
1610	掣	13	zai3|cit3	pull/obstruct/hinder/draw	⿱制手	covered_main	verbs.js	zai3	what:object_np button_switch_noun	
1611	期	13	kei4	a period of time/phase/stage/(used for issue of a periodical, courses of study)/time/term/period/to hope	⿰其月	missing				
1612	琴日	13	kam4jat6	yesterday	⿱玨今:日	covered_main	places-and-times.js	kam4 jat6	when:temporal_adjunct	
1613	畫一個	13	*waak6|waa2jat1go3	NO DEF	⿳&CDP-8BC6;田一:一:⿰亻固	missing				
1614	稅	13	seoi3	taxes/duties	⿰禾兌	missing				
1615	黑色	13	haak1sik1	black	⿱&CDP-88D4;灬:⿱𠂊巴	missing				
1616	傷害	13	soeng1hoi6	injure/harm	⿰亻𬀷:⿱𫲸口[GK],⿳宀龶口[TJV]	missing				
1617	傾偈	13	king1gai2	to chat	⿰亻頃:⿰亻曷	missing				
1618	感	13	gam2	to feel/to move/to touch/to affect	⿱咸心[GJK],⿵咸心[TV]	missing				
1619	損失	13	syun2sat1	loss (e.g. financial)/to lose	⿰扌員:⿰丿夫	missing				
1620	會會	13	wui5wui5	to meet	⿱亼𭥴:⿱亼𭥴	missing				
1621	照顧	13	ziu3gu3	to take care of/to show consideration/to attend to/to look after	⿱昭灬:⿰雇頁	missing				
1622	運	13	wan6	to move/to transport/to use/to apply/fortune/luck/fate	⿺辶軍	handled_structurally				src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js
1623	嘗試	13	soeng4si3	to try/to attempt	⿱𫩠旨:⿰言式	missing				
1624	監管	13	gaam1gun2	to oversee/to take charge of/to supervise/to administer/supervisory/supervision	⿱⿰臣&CDP-89BC;皿[G],⿱&CDP-8CC9;皿[TJKV]:⿱竹官	missing				
1625	碧	13	bik1	green jade/bluish green/blue/jade	⿱珀石	missing				
1626	網	13	mong5	net/network	⿰糹罔[GTV],⿰糸罔[JK]	missing				
1627	認真	13	jing6zan1	earnest/serious/to take seriously/to take to heart	⿰言忍:⿱十具	missing				
1628	增加	13	zang1gaa1	to raise/to increase	⿰土曾:⿰力口	missing				
1629	數字	13	sou3zi6	numeral/digit/number/figure/amount/digital (electronics etc)	⿰婁攵:⿱宀子	missing				
1630	熱	13	jit6	heat/to heat up/fervent/hot (of weather)/warm up	⿱埶灬	covered_main	statives.js	jit6	like:stative_predicate ambient_property_predicate temperature_property	
1631	鋪	13	pou3	to spread/to display/to set up/plank bed/place to sleep/shop/store	⿰金甫	missing				
1632	燈	13	dang1	lamp/light/lantern/CL:盞[jáan]	⿰火登	missing				
1633	牆	13	coeng4	wall	⿰爿嗇	covered_main	things.js	coeng4	what:object_np location_base surface_location_noun	
1634	講多次	13	*gong2do1ci3	NO DEF	⿰言冓:⿱夕夕:⿰冫欠[GJ],⿰二欠[TKV]	missing				
1635	嚮	13	hoeng3	variant of 向, direction/orientation/to face/to turn toward/to/towards/shortly before/formerly/to side with/to be partial to/all along (previously)/surname Xiang	⿱鄉向[GT],⿱鄕向[JK]	missing				
1636	關	13	gwaan1	mountain pass/to close/to shut/to turn off/to concern/to involve/surname Kwan	⿵門𢇇	missing				
1637	一刻	12	*jat1hak1|haak1	NO DEF	一:⿰亥刂	missing				
1638	一套	12	jat1tou3	suit/a set	一:⿱大镸	missing				
1639	一部	12	*jat1bou6	NO DEF	一:⿰咅阝	missing				
1640	十二點	12	sap6ji6dim2	NO DEF	十:⿱一一:⿰黑占	missing				
1641	十分	12	sap6fan1	to divide into ten equal parts/very/hundred percent/completely/extremely/utterly/absolutely	十:⿱八刀	missing				
1642	中學	12	zung1hok6	middle school	⿻口丨:⿱𦥯子	missing				
1643	之內	12	zi1noi6	inside	⿱丶&CDP-8661;:⿻冂入	missing				
1644	今	12	gam1	today/modern/present/current/this/now	⿱亽㇇[G],⿱亼㇇[TJKV]	missing				
1645	內容	12	noi6jung4	content/substance/details	⿻冂入:⿱宀谷	missing				
1646	水草	12	seoi2cou2	water plants/habitat with water source and grass	⿲㇇亅&CDP-85BF;:⿱艹早	missing				
1647	牙	12	ngaa4	tooth/ivory/CL:隻[jek]	牙	covered_main	study-suite.js	ngaa4	what:body_part_noun pronunciation_drill_item	
1648	去過	12	*heoi3gwo3	NO DEF	⿱土厶:⿺辶咼	handled_structurally				src/runtime-resources/lexicon/compositional-lexical-phrases.js
1649	正面	12	zing3min6	front/positive/direct/open	⿱一止,⿱&CDP-87FD;一:⿱丆囬	missing				
1650	生產	12	sang1caan2	childbirth/parturition/to produce/manufacture	生:⿱文&CDP-8C45;	missing				
1651	合理	12	hap6lei5	rational/reasonable/fair	⿱亼口:⿰王里	missing				
1652	多過	12	*do1gwo3	NO DEF	⿱夕夕:⿺辶咼	missing				
1653	好食	12	*hou2|hou3sik6	NO DEF	⿰女子:⿱人良	surface_covered_sense_uncertain	statives.js	hou2 sik6	like:lexicalized_stative_predicate sensory_evaluation food_evaluation degreeable	
1654	好悶	12	*hou2|hou3mun6	NO DEF	⿰女子:⿵門心	missing				
1655	好聽	12	hou2teng1	pleasant to hear	⿰女子:⿰&CDP-8BD1;𢛳	covered_main	statives.js	hou2 teng1	like:lexicalized_stative_predicate sensory_evaluation sound_evaluation degreeable	
1656	成熟	12	sing4suk6	mature/ripe/Taiwan pr. cheng2 shou2	⿵戊𠃌:⿱孰灬	missing				
1657	早餐	12	zou2caan1	breakfast	⿱日十:⿱𣦼食	covered_main	study-suite.js	zou2 caan1	what:meal_noun breakfast	
1658	曲線	12	kuk1sin3	curve/curved line/indirect/in a roundabout way	曲:⿰糹泉[GT],⿰糸泉[JK]	missing				
1659	西行	12	*sai1hang4|haang4|hang6|hong4|hong2	NO DEF	⿱一𠁤:⿰彳亍	missing				
1660	西面	12	sai1min6	west side/west	⿱一𠁤:⿱丆囬	missing				
1661	佔	12	zim3	to take possession of/to occupy/to constitute/to make up/to account for/占 sometimes used as traditional character	⿰亻占	missing				
1662	判	12	pun3	to judge/to sentence/to discriminate/to discern	⿰半刂	missing				
1663	即將	12	zik1zoeng1	on the eve of/to be about to/to be on the verge of	⿰&CDP-8B7C;卩:⿰爿&CDP-8BC3;	missing				
1664	形象	12	jing4zoeng6	image/form/figure	⿰开彡:⿳𠂊𫩏𧰨	missing				
1665	投訴	12	tau4sou3	complaint/to file a complaint/to sue	⿰扌殳:⿰言斥	missing				
1666	私家	12	si1gaa1	private/privately owned or managed	⿰禾厶:⿱宀豕	missing				
1667	兩日	12	*loeng5jat6	NO DEF	⿱一&CDP-8C62;:日	missing				
1668	兩樣	12	loeng5joeng6	two kinds/difference	⿱一&CDP-8C62;:⿰木羕	missing				
1669	制	12	zai3	system/to control/to regulate/to agree (to a deal)	⿰&CDP-89EC;刂	missing				
1670	呢種	12	*ne1|ni1|nei1zung2|zung3	NO DEF	⿰口尼:⿰禾重	missing				
1671	居民	12	geoi1man4	resident/inhabitant	⿸尸古:民	missing				
1672	直角	12	zik6gok3	a right angle	⿱十&CDP-8BA5;[GT],⿱十⿺𠃊目[JK]:角	missing				
1673	空	12	hung1	empty/air/sky/in vain/to empty/vacant/unoccupied/space/leisure/free time	⿱穴工	missing				
1674	股份	12	gu2fan2	a share (in a company)/stock	⿰月殳[GJK],⿰⺼殳[TV]:⿰亻分	missing				
1675	門口	12	mun4hau2	doorway/gate	⿰𠁣𠃛:口	covered_main	places-and-times.js	mun4 hau2	where:place_or_goal entrance_location	
1676	既然	12	gei3jin4	since/as/this being the case	⿰&CDP-8B7C;旡:⿱&CDP-8BB5;灬	missing				
1677	珍惜	12	zan1sik1	treasure/value/cherish	⿰王㐱:⿰忄昔	missing				
1678	相處	12	soeng1cyu2	get along with each other	⿰木目:⿸虍処	missing				
1679	相對	12	soeng1deoi3	relatively/opposite/to resist/to oppose/relative/vis-a-vis	⿰木目:⿰&CDP-8BBD;寸	missing				
1680	音	12	jam1	sound/noise/note (of musical scale)/tone/news/syllable/reading (phonetic value of a character)	⿱立日	missing				
1681	個頭	12	*go3tau4	NO DEF	⿰亻固:⿰豆頁	missing				
1682	員	12	jyun4	person/employee/member	⿱口貝	missing				
