rank	word	cifu_spoken_adult	cifu_jyutping	cifu_definition	cifu_structure	runtime_status	runtime_module	runtime_jyutping	runtime_meta	structural_path
1	係	15318	hai6	to be/to connect/to relate to/to tie up/to bind	⿰亻系	covered_main	function-words-and-particles.js	hai6	func:copula	
2	呢	8009	ne1|ni1|nei1	(question particle for subjects already mentioned)/woolen material	⿰口尼	covered_main	degree-and-formulas.js	ni1	func:demonstrative_determiner	
3	嘅	7809	ge3	possessive marker	⿰口既[G],⿰口旣[TJK]	covered_main	degree-and-formulas.js	ge3	particle:sentence_final_particle_or_nominalizer	
4	我	7173	ngo5	I/me/my	我	covered_main	people-and-address.js	ngo5	who:subject_or_topic	
5	你	6947	nei5	you (informal, as opposed to polite 您[néih])	⿰亻尔	covered_main	people-and-address.js	nei5	who:subject_or_topic	
6	就	6377	zau6	at once/right away/only/just (emphasis)/as early as/already/as soon as/then/in that case/as many as/even if/to compromise/to meet someone halfway/to give in to someone's demands/to approach/to move towards/to undertake/to engage in/to suffer/subjected to/to accomplish/to take advantage of/to go with (of foods)/with regard to/concerning	⿰京尤	covered_main	function-words-and-particles.js	zau6	func:focus_or_sequence	
7	唔	6375	m4	not	⿰口吾	covered_main	function-words-and-particles.js	m4	func:negator	
8	個	6118	go3	individual/this/that/size/classifier for people or objects in general	⿰亻固	covered_main	places-and-times.js	go3	measure_word:general_classifier	
9	佢	5918	keoi5	he/she/it	⿰亻巨	covered_main	people-and-address.js	keoi5	who:subject_or_topic	
10	咁	5478	gam3|gam2	so	⿰口甘	covered_main	function-words-and-particles.js	gam2	func:discourse_marker	
11	嗰	5413	go2	that	⿰口個	covered_main	referents-and-boundaries.js	go2	func:demonstrative_determiner	
12	好	4038	hou2|hou3	good/well/proper/good to/easy to/very/so/(suffix indicating completion or readiness)|to be fond of/to have a tendency to/to be prone to	⿰女子	covered_main	degree-and-formulas.js	hou2	how:degree_marker	
13	啲	4031	di1	plural prefix	⿰口的	covered_main	function-words-and-particles.js	di1	how:quantity_degree_or_plural	
14	啊	3973	aa3|aa1|aa2	interjection expressing doubt or requiring answer/Eh?/what?/to show realization/to stress/interjection of surprise or doubt/Eh?/My!/what's up?/interjection of surprise/Ah!/Oh!/interjection or grunt of agreement/uhm/Ah, OK/expression of recognition/Oh, it's you!/modal particle ending sentence, showing affirmation, approval, or consent	⿰口阿	covered_main	degree-and-formulas.js	aa3	particle:sentence_final_particle	
15	呀	3801	aa3|aa1|aa6	(particle equivalent to 啊 after a vowel, expressing surprise or doubt)	⿰口牙	covered_main	degree-and-formulas.js	aa3	particle:sentence_final_particle	
16	都	3785	dou1	all/both (if two things are involved)/entirely (due to) each/even/already/capital city/metropolis/surname Du	⿰者阝	covered_main	function-words-and-particles.js	dou1	how:focus_adverb	
17	喺	3704	hai2	located at	⿰口係	covered_main	function-words-and-particles.js	hai2	func:locative_coverb	
18	有	3683	jau5	to have/there is/there are/to exist/to be/to have money/to be rich	⿸𠂇月	covered_main	function-words-and-particles.js	jau5	func:existential_or_possessive	
19	即係	2930	zik1hai6	exactly	⿰&CDP-8B7C;卩:⿰亻系	missing				
20	噉	2599	gam2	in this way	⿰口敢	covered_main	function-words-and-particles.js	gam2	func:discourse_marker demonstrative_manner	
21	去	2380	heoi3	to go/to go to (a place)/to cause to go or send (sb)/to remove/to get rid of/(when used either before or after a verb) to go in order to do sth/to be apart from in space or time/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation)/(of a time or an event etc) just passed or elapsed	⿱土厶	covered_main	verbs.js	heoi3	doing:movement_verb	
22	到	2329	dou3	to (a place)/until (a time)/up to/to go/to arrive	⿰至刂	surface_covered_sense_uncertain	function-words-and-particles.js	dou2	func:result_or_attainment	
23	咗	2220	zo2	particle	⿰口左	covered_main	function-words-and-particles.js	zo2	func:perfective_aspect	
24	冇	2129	mou5	don't have/haven't/not/do not/have no	⿸𠂇冂	covered_main	function-words-and-particles.js	mou5	func:negated_existential	
25	哋	2116	dei6	plural suffix	⿰口地	handled_structurally				src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js
26	嘢	2016	je5	thing/a person, a body part or other object which is not named directly but is often indicated by the classifier used/a person (disrespectful)/heroin	⿰口野	covered_main	things.js	je5	what:object_np	
27	即	1930	zik1	namely/that is/i.e./prompt/at once/at present/even if/prompted (by the occasion)/to approach/to come into contact/to assume (office)/to draw near	⿰&CDP-8B7C;卩	missing				
28	話	1828	waa6|waa2	to say/dialect/language/spoken words/speech/talk/words/conversation/what sb said	⿰言舌	covered_main	verbs.js	waa6	doing:speech_reporting_verb	
29	唔係	1818	m4hai6	not	⿰口吾:⿰亻系	covered_main	function-words-and-particles.js	m4 hai6	func:negated_copula	
30	跟住	1653	gan1zyu6	NO DEF	⿰𧾷艮:⿰亻主	covered_main	study-suite.js	gan1 zyu6	func:sequence_connector discourse_marker	
31	會	1592	wui5|wui6|wui2	can/be possible/be able to/will/to assemble/to meet/to gather/to see/union/group/association/to balance an account/accounting	⿱亼𭥴	covered_main	function-words-and-particles.js	wui5	func:modal_future_or_habitual	
32	喇	1491	laa1	(onomat.)/(phonetic)	⿰口剌	surface_covered_sense_uncertain	degree-and-formulas.js	laa3	particle:sentence_final_particle change_state_current_relevance_particle	
33	但係	1423	daan6hai6	but	⿰亻旦:⿰亻系	covered_main	function-words-and-particles.js	daan6 hai6	func:connector_contrast	
34	又	1356	jau6	(once) again/also/both... and.../again	又	covered_main	function-words-and-particles.js	jau6	how:focus_adverb	
35	之後	1279	zi1hau6	afterwards/following/later/after	⿱丶&CDP-8661;:⿰彳⿱幺夂[GJKV],⿰彳&CDP-8B7B;[HT]	covered_main	verbs.js	zi1 hau6	when:temporal_connector	
36	啦	1262	laa1|laa3	(an auxiliary word performing the grammatical functions of mood)/fusion of le + a/follows after 比如 listed examples/(onomat.)/(phonetic)	⿰口拉	covered_main	degree-and-formulas.js	laa1	particle:sentence_final_particle directive_closure_particle	
37	要	1256	jiu3	demand/ask/request/coerce/important/vital/to want/will/going to (as future auxiliary)/may/must	⿱覀女	covered_main	function-words-and-particles.js	jiu3	func:modal_need_or_want	
38	一個	1246	*jat1go3	NO DEF	一:⿰亻固	handled_structurally				src/runtime-resources/presentation/learner-glosses.js
39	喀	1219	kak1	(onomat.)	⿰口客	missing				
40	一	1195	jat1	one/1/single/a (article)/as soon as/entire/whole/all/throughout/"one" radical in Chinese characters (Kangxi radical 1)	一	covered_main	places-and-times.js	jat1	like:quantity count_value numeral_one	
41	喎	1182	wo3|wo4|wo5|wo6|wo1	a wry mouth	⿰口咼	covered_main	degree-and-formulas.js	wo3	particle:sentence_final_particle evidential_noteworthiness_particle	
42	㗎	1155	*?	NO DEF	⿰口架	covered_main	degree-and-formulas.js	gaa3	particle:explanatory_sentence_final_particle	
43	度	1149	dou6|dok6	to pass/to spend (time)/measure/limit/extent/degree of intensity/degree (angles, temperature etc)/kilowatt-hour|to consider/to calculate/to think/to estimate/to ask someone for a loan	⿸广&CDP-8C46;	covered_main	verbs.js	dou6	func:locative_postposition	
44	同埋	1122	tung4maai4	and, together with	⿵𠔼口:⿰土里	covered_main	function-words-and-particles.js	tung4 maai4	func:connector_additive	
45	覺得	1086	gok3dak1	to think/to feel	⿱𦥯見:⿰彳㝵	covered_main	verbs.js	gok3 dak1	doing:cognition_opinion_predicate	
46	做	1064	zou6	to do/to act/to have sex/to fight/to kill/to trick	⿰亻故	covered_main	verbs.js	zou6	doing:verb	
47	可以	1032	ho2ji5	can/may/possible/able to	⿹丁口:以	covered_main	function-words-and-particles.js	ho2 ji5	func:modal_permission_or_ability	
48	其實	1015	kei4sat6	actually/that is not the case/in fact/really	⿱&CDP-8B72;八:⿱宀貫	missing				
49	向	992	hoeng3	direction/orientation/to face/to turn toward/to/towards/shortly before/formerly/to side with/to be partial to/all along (previously)/surname Xiang	⿵&CDP-8BD6;口	covered_main	places-and-times.js	hoeng3	func:orientation_coverb path_coverb	
50	人	975	jan4	man/person/people	人	covered_main	people-and-address.js	jan4	who:person_np	
51	而家	953	ji4gaa1	now	⿱一𦓐:⿱宀豕	covered_main	places-and-times.js	ji4 gaa1	when:temporal_adjunct	
52	中間	952	zung1gaan1	between/intermediate/mid/middle	⿻口丨:⿵門日	missing				
53	得	921	dak1	can/to obtain/to get/to gain/to allow/to permit	⿰彳㝵	covered_main	function-words-and-particles.js	dak1	func:acceptability_predicate	
54	睇	911	tai2	to look/to look after/to care for/to support	⿰目弟	covered_main	verbs.js	tai2	doing:verb transitive_affordance chain_select_perception	
55	上	890	soeng6|soeng5	above/upper/first/best/better/superior/previous/before/above/top/emperor/superior|go up/upward/up/go to/ascend/go to court/rising tone (phonetics)	⿱⺊一	covered_main	places-and-times.js	soeng5	when:temporal_modifier_previous movement_direction_up	
56	真係	872	zan1hai6	really	⿱十具:⿰亻系	missing				
57	嘞	817	laak3|lak3	particle	⿰口勒	covered_main	degree-and-formulas.js	laak3	particle:sentence_final_particle changed_state_particle	
58	誒	817	aai2|ei6|oi1	hey	⿰言矣	missing				
59	因為	814	jan1wai6	because/owing to/on account of	⿴囗大:為	covered_main	function-words-and-particles.js	jan1 wai6	func:connector_reason	
60	下	811	haa6	down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down	⿱一卜	covered_main	places-and-times.js	haa6	when:temporal_modifier_next	
61	多	811	do1	many/much/a lot of/numerous/multi-	⿱夕夕	covered_main	statives.js	do1	like:stative_or_quantity	
62	乜	795	mat1	what	乜	covered_main	study-suite.js	mat1	what:wh_thing colloquial_wh	
63	囉	790	lo1|lo3|lo4	repetitious/over-elaborate/[final particle] expressing a changed condition/[final particle] showing argumentative mood or making emphasis	⿰口羅	covered_main	degree-and-formulas.js	lo1	particle:sentence_final_particle agreement_particle	
64	如果	782	jyu4gwo2	if/in case/in the event that	⿰女口:⿻日木	covered_main	function-words-and-particles.js	jyu4 gwo2	func:connector_condition	
65	下面	753	haa6min6	below/under/next/the following	⿱一卜:⿱丆囬	missing				
66	講	744	gong2	to speak/to explain/a speech/a lecture	⿰言冓	covered_main	verbs.js	gong2	doing:verb transitive_affordance chain_select_discourse_content	
67	咩	736	me1	what?/[final particle] transforms statements into questions that indicate doubt or surprise	⿰口羊	covered_main	referents-and-boundaries.js	me1	what:wh_thing direct_nominal_wh_determiner question_particle wh_or_particle	
68	嚟	714	lai4	come	⿰口黎	covered_main	verbs.js	lai4	doing:movement_verb	
69	哦	710	ngo4|o4|o6	oh (叹词, interjection)/to chant	⿰口我	missing				
70	係咪	709	*hai6mai1|mi4|mai5	NO DEF	⿰亻系:⿰口米	surface_covered_sense_uncertain	verbs.js	hai6 mai6	func:yes_no_question_marker	
71	自己	707	zi6gei2	oneself/one's own	自:己	covered_main	study-suite.js	zi6 gei2	who:reflexive_pronoun person_np	
72	咁樣	703	gam2joeng2	NO DEF	⿰口甘:⿰木羕	missing				
73	噉樣	681	gam2joeng2	this way	⿰口敢:⿰木羕	missing				
74	吓	666	haa5	particle	⿰口下	surface_covered_sense_uncertain	degree-and-formulas.js	haa2	particle:interjection	
75	應該	664	jing1goi1	ought to/should/must	⿸䧹心:⿰言亥	covered_main	function-words-and-particles.js	jing1 goi1	func:stance_probability_or_should	
76	知	662	zi1|zi3	to know/to be aware	⿰矢口	covered_main	verbs.js	zi1	doing:cognition_verb	
77	咪	647	mai1|mi4|mai5	to swot/to cram for an exam/meow|don't/shouldn't/mustn't	⿰口米	covered_main	study-suite.js		func:polysemous_mai_marker	
78	兜	647	dau1	container for rice, pet food or coins/to move in a circle/to canvas or solicit/to go for a (leisurely) stroll, drive, jaunt	⿱⿲&CDP-8CBD;白コ儿	missing				
79	嗎	646	maa3	(question tag)/see 嗎啡|吗啡, morphine	⿰口馬	covered_main	degree-and-formulas.js	maa3	particle:question_particle	
80	同	640	tung4	and/as well as/for/on behalf of/like/same/similar/together/alike/with	⿵𠔼口	covered_main	function-words-and-particles.js	tung4	func:connector_or_coverb comitative_coverb interpersonal_coverb	
81	再	632	zoi3	again/once more/re-/second/another/then (after sth, and not until then)	⿱一冉	covered_main	function-words-and-particles.js	zoi3	how:sequence	
82	見	617	gin3	appear/to see/to meet/to appear (to be sth)/to interview	⿱目儿	covered_main	degree-and-formulas.js	gin3	doing:verb	
83	好似	607	hou2ci5	to seem/to be like	⿰女子:⿰亻以	covered_main	function-words-and-particles.js	hou2 ci5	func:stance_seeming	
84	吖	603	aa4	particle	⿰口丫	surface_covered_sense_uncertain	degree-and-formulas.js	aa1	particle:sentence_final_particle	
85	上面	569	soeng6min6	on top of/above-mentioned/mainland China, as viewed from Hong Kong/the Beijing authorities	⿱⺊一:⿱丆囬	covered_main	things.js	soeng6 min6	where:place_or_goal spatial_localizer upper_surface_localizer	
86	先	569	sin1	early/prior/former/in advance/first	⿱𠂒儿	covered_main	function-words-and-particles.js	sin1	how:sequence_or_focus	
87	可能	566	ho2nang4	might (happen)/possible/probable/possibility/probability/maybe/perhaps	⿹丁口:⿰䏍𫧇	covered_main	function-words-and-particles.js	ho2 nang4	func:stance_possibility	
88	開始	539	hoi1ci2	to begin/beginning/to start/initial	⿵門开:⿰女台	covered_main	study-suite.js	hoi1 ci2	doing:verb inception_verb	
89	諗	528	nam2	to think/to consider	⿰言念	covered_main	verbs.js	nam2	doing:cognition_verb	
90	來	491	loi4	to come/to arrive/to come round/ever since/next	⿻木从	handled_structurally				src/parser/detectors/definition/intended-function.js
91	然	483	jin4	correct/right/so/thus/like this/-ly	⿱&CDP-8BB5;灬	handled_structurally				src/parser/clause-relations/graph.js
92	右	472	jau6	right (-hand)	⿸𠂇口	covered_main	study-suite.js	jau6	where:direction_noun_or_modifier	
93	經過	459	ging1gwo3	to pass/to go through/process/course	⿰糹巠[GTV],⿰糸巠[JK]:⿺辶咼	missing				
94	時	448	si4	o'clock/time/when/hour/season/period/surname Shi	⿰日寺	covered_main	study-suite.js	si4	when:time_noun time_head	
95	大	444	daai6	big/huge/large/major/great/oldest/eldest/senior/to challenge	⿻一人	covered_main	statives.js	daai6	like:stative_predicate	
96	想	437	soeng2	to think/to believe/to suppose/to wish/to want/to miss	⿱相心	covered_main	function-words-and-particles.js	soeng2	func:modal_desiderative	
97	邊	437	bin1	side/edge/margin/border/boundary/suffix of a noun of locality	⿺辶臱	covered_main	referents-and-boundaries.js	bin1	func:wh_determiner	
98	搵	435	wan2|wan3	to find/to search/to look for/press with finger/wipe	⿰扌𥁕	covered_main	verbs.js	wan2	doing:verb find_verb	
99	或者	428	waak6ze2	or/possibly/maybe/perhaps	⿹戈&CDP-8BE2;:⿸耂日[GTJ],⿸耂⿱丶日[K]	handled_structurally				src/parser/detectors/definition/intended-function.js
100	字	422	zi6	letter/symbol/character/word/CL:個[go]/courtesy or style name traditionally given to males aged 20 in dynastic China	⿱宀子	covered_main	verbs.js	zi6	what:object_np writing_content_np	
101	時候	420	si4hau6	time/length of time/moment/period	⿰日寺:⿰&CDP-8B7A;&CDP-8BC7;	covered_main	verbs.js	si4 hau6	when:time_np	
102	唔好	419	m4hou2	no good/don't	⿰口吾:⿰女子	covered_main	function-words-and-particles.js	m4 hou2	func:prohibitive_marker_or_discourse_unit	
103	俾	418	bei2	to cause/to enable/phonetic bi	⿰亻卑	covered_main	verbs.js	bei2	doing:ditransitive_verb orthographic_variant_bei	
104	所以	415	so2ji5	therefore/as a result/so	⿰戶斤[GTKV],⿰戸斤[J]:以	covered_main	function-words-and-particles.js	so2 ji5	func:connector_result	
105	少少	412	siu2siu2	NO DEF	⿱小丿:⿱小丿	covered_main	degree-and-formulas.js	siu2 siu2	how:quantity_degree	
106	面	412	min6	face/respect, reputation, honour, "face"/side/surface/aspect/top/classifier for flat surfaces such as drums, mirrors, flags etc (Mandarin)	⿱丆囬	covered_main	study-suite.js	min6	where:location_surface_or_side_noun head_noun	
107	幾	409	gei2|gei1	how much/how many/several/a few|almost	⿹&CDP-8BA4;人	covered_main	degree-and-formulas.js	gei2	how:degree_marker	
108	畀	407	bei2	to give	⿱田丌	covered_main	verbs.js	bei2	doing:ditransitive_verb	
109	嘛	402	maa4	(a modal particle)	⿰口麻	missing				
110	住	398	zyu6	to live/to dwell/to stay/to reside/to stop	⿰亻主	covered_main	study-suite.js	zyu6	doing:verb residence_verb_or_durative_marker_homograph	
111	過	390	gwo3	(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/excessively/too-/a surname	⿺辶咼	covered_main	function-words-and-particles.js	gwo3	func:experiential_aspect	
112	譬如	390	pei3jyu4	for example/for instance/such as	⿱辟言:⿰女口	missing				
113	聽	378	teng1|ting1|ting3	to listen/to hear/to obey	⿰&CDP-8BD1;𢛳	covered_main	verbs.js	teng1	doing:verb	
114	已經	373	ji5ging1	already	已:⿰糹巠[GTV],⿰糸巠[JK]	covered_main	verbs.js	ji5 ging1	when:temporal_adverb perfective_temporal	
115	返	373	faan1|faan2	to return (to)	⿺辶反	covered_main	verbs.js	faan1	doing:movement_verb	
116	嗯	370	ng2	(a groaning sound)/(nonverbal grunt as interjection)/OK, yeah/what?/interjection indicating approval, appreciation or agreement	⿰口恩	missing				
117	隻	361	zek3	classifier for birds and certain animals, one of a pair, some utensils, vessels etc	⿱隹又	covered_main	referents-and-boundaries.js	zek3	measure_word:classifier_animal_body_part_one_of_pair	
118	左	357	zo2	left/the Left (politics)/a surname	⿸𠂇工	covered_main	study-suite.js	zo2	where:direction_noun_or_modifier	
119	叫	350	giu3	to call/to yell/to order/to ask/to be called	⿰口丩	covered_main	verbs.js	giu3	doing:naming_or_calling_verb	
120	哩	342	lei5|le1|lei1|li1	(modal final particle sim. to 呢 or 啦)/(onomat.)/see 哩哩羅羅|哩哩罗罗 lililuoluo endless mumbling noise/see 哩哩啦啦 lililala, scattered or intermittent/mile/old form of modern 英里	⿰口里	missing				
121	落去	329	lok6heoi3	NO DEF	⿱艹洛:⿱土厶	missing				
122	對	329	deoi3	couple/pair/to be opposite/to oppose/to face/versus/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right	⿰&CDP-8BBD;寸	covered_main	referents-and-boundaries.js	deoi3	func:relational_coverb	
123	買	328	maai5	to buy/to purchase/to bet/to place a bet on/to kill/to have killed	⿱罒貝	covered_main	verbs.js	maai5	doing:verb	
124	然後	323	jin4hau6	after/then (afterwards)/after that/afterwards	⿱&CDP-8BB5;灬:⿰彳⿱幺夂[GJKV],⿰彳&CDP-8B7B;[HT]	covered_main	function-words-and-particles.js	jin4 hau6	func:connector_sequence discourse_marker	
125	方	322	fong1	square/quadrilateral/power (such as cube 立方)/classifier for square things/upright/honest/fair and square/surname Fang/direction/party (to a dispute)/one side/place/method/prescription/just/then/only then	⿱亠&CDP-8B6C;	missing				
126	陣	320	zan6	disposition of troops/wave/spate/burst/spell/short period of time/classifier for events or states of short duration	⿰阝車	covered_main	study-suite.js	zan6	when:time_or_event_classifier time_head	
127	點解	317	dim2gaai2	why	⿰黑占:⿰角𭷔	covered_main	referents-and-boundaries.js	dim2 gaai2	why:wh_reason	
128	沙漠	314	saa1mok6	desert	⿰氵少:⿰氵莫	missing				
129	最	312	zeoi3	most/the most/-est	⿱日取[GJK],⿱冃取[TV]	covered_main	verbs.js	zeoi3	how:degree_superlative	
130	啫	311	zek1|ze1	|merely, only, that's all (used mainly to play down a fact and convey a sense of reassurance)|the penis (child's term, humorous)	⿰口者	covered_main	degree-and-formulas.js	ze1	particle:sentence_final_particle restrictive_focus_particle minimizing_particle	
131	兩	307	loeng5	both/two/ounce/some/a few/tael	⿱一&CDP-8C62;	covered_main	places-and-times.js	loeng5	like:quantity count_value numeral_two	
132	晒	307	saai3	NO DEF	⿰日西	covered_main	function-words-and-particles.js	saai3	func:completive_totality_aspect	
133	喂	303	wai3	hello (interj., esp. on telephone)/hey/to feed (sb or some animal)	⿰口畏	covered_main	degree-and-formulas.js	wai3	particle:attention_getter	
134	不過	301	bat1gwo3	only/merely/no more than/but/however/anyway (to get back to a previous topic)	⿱一&CDP-8665;:⿺辶咼	covered_main	function-words-and-particles.js	bat1 gwo3	func:connector_contrast	
135	樣	301	joeng6	manner/pattern/way/appearance/shape	⿰木羕	covered_main	verbs.js	joeng6	measure_word:classifier_kind_item	
136	嘩	298	waa1|waa4	cat-calling sound/clamor/noise/crashing sound	⿰口華	missing				
137	穿過	297	cyun1gwo3	to pass through	⿱穴牙:⿺辶咼	missing				
138	問題	297	man6tai4	question/problem/issue/topic	⿵門口:⿺是頁	covered_main	things.js	man6 tai4	what:object_np	
139	兩個	291	*loeng5go3	NO DEF	⿱一&CDP-8C62;:⿰亻固	missing				
140	個人	284	go3jan4	individual/personal/oneself	⿰亻固:人	missing				
141	終點	283	zung1dim2	the end/end point/finishing line (in a race)/destination/terminus	⿰糹冬[GTV],⿰糸冬[JK]:⿰黑占	missing				
142	洞	278	dung6	cave/hole/the female sexual organ, "hole", "cunt"/CL:個[go]	⿰氵同	missing				
143	山	271	saan1	mountain/hill/CL:座[joh]	山	missing				
144	上去	270	soeng5heoi3	to go up	⿱⺊一:⿱土厶	missing				
145	行	269	hang4|haang4|hang6|hong4|hong2	to act/to do/be current/able/capable|to walk/to go/to go on foot|behavior/conduct|row/line/trade/profession|business firm/company	⿰彳亍	covered_main	function-words-and-particles.js	haang4	doing:verb action_verb walking_verb	
146	園	265	jyun4	garden	⿴囗袁	missing				
147	角	264	gok3	angle/horn/horn-shaped/unit of money equal to 0.1 yuan/role (theater)/to compete/ancient three legged wine vessel/third note of pentatonic scale/surname Jue	角	missing				
148	條	261	tiu4	strip/item/article/clause (of law or treaty)/classifier for long thin things (ribbon, river, road, trousers etc)/a classifier, used in slang for people	⿰&CDP-8B7A;条[G],⿰&CDP-8B7A;&CDP-8BFB;[TJKV]	covered_main	verbs.js	tiu4	measure_word:classifier_long_thin	
149	揾	255	*?	NO DEF	⿰扌昷	missing				
150	手	254	sau2	hand/hand of cards/a turn (gambling)	手	covered_main	things.js	sau2	what:body_part_np	
151	哩個	254	*lei5|le1|lei1|li1go3	NO DEF	⿰口里:⿰亻固	missing				
152	間	254	gaan1|gaan3	between/among/within a definite time or space/room/section of a room or lateral space between two pairs of pillars/classifier for rooms|gap/to separate	⿵門日	covered_main	referents-and-boundaries.js	gaan1	measure_word:classifier_building_shop	
153	亦	250	jik6	also	⿱亠&CDP-8CB5;	missing				
154	點樣	250	dim2joeng2	how	⿰黑占:⿰木羕	covered_main	referents-and-boundaries.js	dim2 joeng2	how:evaluation_wh_predicate	
155	啱	247	ngaam1	correct/suitable/just now/to suit sb	⿰口岩	covered_main	statives.js	ngaam1	like:stative_predicate	
156	有個	245	*jau5go3	NO DEF	⿸𠂇月:⿰亻固	missing				
157	唔到	244	*m4dou3	NO DEF	⿰口吾:⿰至刂	missing				
158	走	241	zau2	to go/to run/to walk (Mandarin)/to move (of vehicle)/to visit/to leave/to go away/to die (euph.)/from/through/away (in compound verbs, such as 撤走)/to change (shape, form, meaning)	⿱土龰	covered_main	verbs.js	zau2	func:verb_complement directional_result_complement	
159	大家	239	daai6gaa1	everyone	⿻一人:⿱宀豕	covered_main	people-and-address.js	daai6 gaa1	who:person_np collective_pronoun	
160	落	238	lok6	to go down/to fall or drop/to have an abortion/to abort/to put the blame on	⿱艹洛	covered_main	places-and-times.js	lok6	doing:movement_direction_down movement_verb	
161	未	235	mei6	not yet/did not/have not/not/8th earthly branch: 1-3 p.m., 6th solar month (7th July-6th August), year of the Sheep	未	covered_main	function-words-and-particles.js	mei6	func:aspectual_question	
162	埋	234	maai4	bury/to blame	⿰土里	missing				
163	邊個	232	bin1go3	which/who	⿺辶臱:⿰亻固	covered_main	referents-and-boundaries.js	bin1 go3	who:wh_person	
164	線	230	sin3	thread/string/wire/line	⿰糹泉[GT],⿰糸泉[JK]	missing				
165	但	227	daan6	but/yet/however/only/merely/still	⿰亻旦	missing				
166	一定	223	jat1ding6	surely/certainly/necessarily/fixed/a certain (extent etc)/given/particular/must	一:⿱宀𤴓	covered_main	verbs.js	jat1 ding6	how:certainty_adverb	
167	咋	220	zaa1|zaa3|zaak3	gnaw/loud noise/shout/suddenly	⿰口乍	covered_main	degree-and-formulas.js	zaa3	particle:sentence_final_particle restrictive_focus_particle exhaustive_limit_particle	
168	樹	218	syu6	tree	⿰木尌	missing				
169	一路	217	jat1lou6	continually	一:⿰𧾷各	missing				
170	成日	216	sing4jat6	NO DEF	⿵戊𠃌:日	surface_covered_sense_uncertain	places-and-times.js	seng4 jat6	when:frequency_adjunct	
171	政府	211	zing3fu2	government	⿰正攵:⿸广付	missing				
172	點	208	dim2	point/dot/speck/o'clock/point (in space or time)/to draw a dot/to check on a list/to choose/to order (food in a restaurant)/to touch briefly/to light/to ignite/to instruct/to advise, especially to give misleading advice, to cheat/dot stroke in Chinese characters/how?	⿰黑占	covered_main	referents-and-boundaries.js	dim2	how:wh_manner	
173	塔	201	taap3	to lock/to lock up/to handcuff/a lock/pagoda/tower/minaret	⿰土荅	missing				
174	裏	201	leoi5	inside/internal/interior/lining/village/basic unit of city administration	⿳亠里𧘇	missing				
175	香港	198	hoeng1gong2	Hong Kong	⿱禾日:⿰氵巷	covered_main	places-and-times.js	hoeng1 gong2	where:place_or_goal	
176	錢	198	cin2|cin4	coin/money/CL:筆[bāt]/unit of weight, one tenth of a tael 両[léuhng]	⿰金戔	covered_main	things.js	cin2	what:object_np	
177	靚	196	leng3	pretty	⿰青見[GT],⿰靑見[JK]	covered_main	statives.js	leng3	like:stative_predicate	
178	公司	195	gung1si1	(business) company/company/firm/corporation/incorporated/CL:家[gā](Mandarin)/CL:間[gāan]	⿱八厶:⿹𠃌𠮛	covered_main	people-and-address.js	gung1 si1	what:organization_np head_noun object_np	
179	池	192	ci4	pond/reservoir/surname Chi	⿰氵也	missing				
180	茅屋	192	maau4uk1	cottage	⿱艹矛:⿸尸至	missing				
181	出	188	ceot1	to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to happen/classifier for dramas, plays, operas etc	⿱屮凵	covered_main	places-and-times.js	ceot1	doing:movement_direction_out movement_direction	
182	阿	187	aa3|o1	prefix used before monosyllabic names, kinship terms etc to indicate familiarity/used in transliteration|flatter	⿰阝可	covered_main	people-and-address.js	aa3	who:address_prefix	
183	知道	186	zi1dou3	know/be aware of	⿰矢口:⿺辶首	missing				
184	用	185	jung6	to use	⿵冂&CDP-8BF1;	covered_main	verbs.js	jung6	doing:verb use_verb instrument_coverb	
185	過去	185	gwo3heoi3	(in the) past/former/previous/to go over/to pass by	⿺辶咼:⿱土厶	missing				
186	唔使	184	m4sai2	need not	⿰口吾:⿰亻吏	covered_main	function-words-and-particles.js	m4 sai2	func:modal_need_not	
187	叫做	183	giu3zou6	be called/be known as	⿰口丩:⿰亻故	covered_main	verbs.js	giu3 zou6	doing:naming_verb	
188	頭先	183	tau4sin1	NO DEF	⿰豆頁:⿱𠂒儿	missing				
189	右邊	181	jau6bin1	right/opposite: left 左邊|左边/the right side/to the right	⿸𠂇口:⿺辶臱	missing				
190	而	179	ji4	and/as well as/and so/but (not)/yet (not)/(indicates causal relation)/(indicates change of state)/(indicates contrast)	⿱一𦓐	missing				
191	一直	178	jat1zik6	straight (in a straight line)/continuously/always/from the beginning of ... up to .../all along	一:⿱十&CDP-8BA5;[GT],⿱十⿺𠃊目[JK]	missing				
192	一樣	177	jat1joeng6	same/like/equal to/the same as/just like	一:⿰木羕	missing				
193	香	175	hoeng1	fragrant/sweet smelling/aromatic/savory or appetizing/(to eat) with relish/(of sleep) sound/perfume or spice/joss or incense stick/CL:枝[jī]/to die (euphemistic, a reference to the custom of burning joss sticks in honour of the departed).	⿱禾日	missing				
