candidate_id	source_path	record_id	exact_text	matched_surface_span	match_start	match_end	left_context	right_context	previous_record_text	next_record_text	source_type	content_hash	duplicate_group_id	extraction_reason	extraction_tool_version	classification	reviewer_note	exclusion_reason
ab30-ad133e2eafed9b2bf5df	test-data/natural-corpus-wechat-guangxi-travel-002-raw.txt	line:5	B: 喂方子系咪开佢自己嗰个车嘅啫，方子嗰个车系咪同阿拉嗰个一样嘅啫，方子嗰部。你饮咗酒你千祈唔好开车啊，我话俾你听吓。	你饮咗酒你千祈唔好开车啊	40	52	B: 喂方子系咪开佢自己嗰个车嘅啫，方子嗰个车系咪同阿拉嗰个一样嘅啫，方子嗰部。	，我话俾你听吓。	C: 系啊系啊，开十开九部宝马，开8部宝马上嚟啊，啱啱去到琴日琴日上嚟噶啦，琴日上嚟。	C: 唔系啊，系咪第三台车同阿拉嗰部一样。	sanitized_natural_conversation_raw_transcript	ade28f0ea8e920af9c4d5c86176f056390e48274df6cf4b4da9a3985eb8b1c1a	dup-ade28f0ea8e920af	High-recall surface heuristic: a punctuation-bounded span has overt 咗, non-punctuation material before it, and letter/number material after it; reviewer validation required.	ab30-corpus-review/1.0.0	unreviewed	""	""
ab30-d8d2be10fb2c873a5a81	data/natural-corpus/wechat-father-daughter-001.txt	line:10	K：我頭先問佢嗰個主任，個主任話唔計收入㗎嘛，佢話冇房就得㗎嘛。我攞咗兩份申請表啦，一陣間影畀你睇下啦，你睇下點計啦。	我攞咗兩份申請表啦	32	41	K：我頭先問佢嗰個主任，個主任話唔計收入㗎嘛，佢話冇房就得㗎嘛。	，一陣間影畀你睇下啦，你睇下點計啦。	J：人哋阿歐陽一年收入都廿幾萬啦，十五萬……	J：嗯。	sanitized_natural_conversation	72d40d2e766ce72c5fc8c7d9924b11c93a9f2ee1ae0be266f521377c0c3addc1	dup-72d40d2e766ce72c	High-recall surface heuristic: a punctuation-bounded span has overt 咗, non-punctuation material before it, and letter/number material after it; reviewer validation required.	ab30-corpus-review/1.0.0	unreviewed	""	""
ab30-e4f5d5a33b1342293387	data/natural-corpus/wechat-father-daughter-001.txt	line:2	K：居留證啊。佢話唔關收入嘅問題啊，佢話冇房就得喇，冇房住就得喇，超過兩萬蚊都唔怕㗎。我同佢講咗啦，我話佢有時有嘢做，有時冇嘢做。收入超過一兩萬蚊一個月，佢話冇所謂嘅，佢話冇房就得喇。	我同佢講咗啦	43	49	K：居留證啊。佢話唔關收入嘅問題啊，佢話冇房就得喇，冇房住就得喇，超過兩萬蚊都唔怕㗎。	，我話佢有時有嘢做，有時冇嘢做。收入超過一兩萬蚊一個月，佢話冇所謂嘅，佢話冇房就得喇。	J：居委要佢嘅中國簽證，定係咩啊？定係居留嗰個證啊？居住證、簽證啊？	J：你係同居委講歐陽有時有嘢做，定係我有時有嘢做、有時冇嘢做啊？你問清楚，同人哋老老實實講啲，唔好到時人哋一查，哦，原來講大話嘅，搞到份人工又冇咗，或者趕鳩佢走添啊。外國人申請呢啲嘢比較謹慎㗎。	sanitized_natural_conversation	d21d6b1bfc344659dba34f2e7bf9bf8c296c067b9abe2cb227cd7db159c5f906	dup-d21d6b1bfc344659	High-recall surface heuristic: a punctuation-bounded span has overt 咗, non-punctuation material before it, and letter/number material after it; reviewer validation required.	ab30-corpus-review/1.0.0	unreviewed	""	""
ab30-eb85cb77226738b81d9c	test-data/natural-corpus-wechat-guangxi-travel-002-raw.txt	line:8	B: 早知你坐佢嘅车咪仲好，唔使自己开咁辛苦。傻閪开下饮下水，开下饮下水嘛。酒就唔唔饮啫，开饮水咋，傻閪。寻日上嚟寻晚黑就到到广西噶啦，到广西嗰个河河桥嗰度，咁大概开咗5个钟头车到啦，加加埋埋。咁最开最开三四个钟头到游览区到桂林嗰度，咁而家揾房住咯，食完听日就正式旅游啦。又去阳朔，去阳朔去桂林都系嗰度附附近近噶啦，兜晒嗰啲点啊，就十几日噶要。广州上嚟800几公里啊。	咁大概开咗5个钟头车到啦	79	91	B: 早知你坐佢嘅车咪仲好，唔使自己开咁辛苦。傻閪开下饮下水，开下饮下水嘛。酒就唔唔饮啫，开饮水咋，傻閪。寻日上嚟寻晚黑就到到广西噶啦，到广西嗰个河河桥嗰度，	，加加埋埋。咁最开最开三四个钟头到游览区到桂林嗰度，咁而家揾房住咯，食完听日就正式旅游啦。又去阳朔，去阳朔去桂林都系嗰度附附近近噶啦，兜晒嗰啲点啊，就十几日噶要。广州上嚟800几公里啊。	C: 酒冇饮，水冇饮一啖啊。	D: 阳朔好靓噶，阳朔慢慢慢慢玩猪八。其实阳朔嘅话你去揸住部嗰啲，你哋部车周围兜去嗰啲唔使钱嗰啲景点周围兜就得噶啦，冇必要使钱去景点噶，一样噶咋，差唔多啲风景。	sanitized_natural_conversation_raw_transcript	22a15689b993af5987d67e3dea747b4986445496fc97398fd0c74c7da068b0b9	dup-22a15689b993af59	High-recall surface heuristic: a punctuation-bounded span has overt 咗, non-punctuation material before it, and letter/number material after it; reviewer validation required.	ab30-corpus-review/1.0.0	unreviewed	""	""
ab30-f5bf6e0c83743a9b7eaa	data/natural-corpus/wechat-father-daughter-001.txt	line:12	K：唔得啦，申請唔到啊。我頭先又去街道諮詢過，佢話五個人都要列收入，五個人嘅收入加埋超咗。收入超咗就唔得，我哋收入超咗。	收入超咗就唔得	45	52	K：唔得啦，申請唔到啊。我頭先又去街道諮詢過，佢話五個人都要列收入，五個人嘅收入加埋超咗。	，我哋收入超咗。	J：嗯。	J：肯定啦，佢一個人都超晒啦。	sanitized_natural_conversation	66b190d64c7a0cc7a7fe30e3fe10e6321d59e1d19c9509e00dade5285c6f0962	dup-66b190d64c7a0cc7	High-recall surface heuristic: a punctuation-bounded span has overt 咗, non-punctuation material before it, and letter/number material after it; reviewer validation required.	ab30-corpus-review/1.0.0	unreviewed	""	""
